FG Signal amplitude(V),Signal frequency(Hz),Signal freq_std(Hz),MTJ operating current(A),Voltage of shunt R(V),Shunt resistance(Ohm),R average,R std,DC component,HHC field amplitude(G),MTJ signal amplitude(V),Percent change,Sensitivity(%/G),Real time(s),,HHC field amplitude(G),R average
0.72,1502.998901,0.000814138,0.001,0.50396711,9887.211007,1.99E-05,4.71E-06,3.0088,0.002286996,2.82E-05,9.36E-06,0.409371726,5.5892844,,0.002286996,1.99E-05
0.71,1502.998904,0.000691795,0.001,0.49697948,9887.211007,2.11E-05,3.50E-06,3.0088,0.002255286,2.98E-05,9.90E-06,0.439178731,11.5432171,,0.002255286,2.11E-05
0.7,1502.998836,0.000651387,0.001,0.4899637,9887.211007,1.93E-05,5.34E-06,3.0088,0.002223449,2.73E-05,9.08E-06,0.40827116,17.494757,,0.002223449,1.93E-05
0.69,1502.998933,0.000817595,0.001,0.48294562,9887.211007,2.06E-05,5.16E-06,3.0088,0.002191601,2.91E-05,9.67E-06,0.441409623,23.3366753,,0.002191601,2.06E-05
0.68,1502.998766,0.000853403,0.001,0.47591367,9887.211007,2.01E-05,4.53E-06,3.0088,0.00215969,2.85E-05,9.46E-06,0.437971881,29.3977356,,0.00215969,2.01E-05
0.67,1502.998844,0.000792838,0.001,0.46890839,9887.211007,1.88E-05,4.96E-06,3.0087,0.0021279,2.66E-05,8.82E-06,0.414702526,35.3491968,,0.0021279,1.88E-05
0.66,1502.998853,0.000688652,0.001,0.4618964,9887.211007,1.82E-05,4.89E-06,3.0087,0.00209608,2.58E-05,8.57E-06,0.408915114,41.3377297,,0.00209608,1.82E-05
0.65,1502.998816,0.000761536,0.001,0.45489238,9887.211007,1.89E-05,4.65E-06,3.0088,0.002064296,2.68E-05,8.91E-06,0.431429079,47.4274169,,0.002064296,1.89E-05
0.64,1502.998861,0.000696361,0.001,0.44788963,9887.211007,1.81E-05,4.90E-06,3.0088,0.002032517,2.55E-05,8.48E-06,0.417424675,53.3807336,,0.002032517,1.81E-05
0.63,1502.998806,0.000751532,0.001,0.44138968,9887.211007,1.88E-05,4.85E-06,3.0088,0.002003021,2.65E-05,8.81E-06,0.440079987,59.3475565,,0.002003021,1.88E-05
0.62,1502.998831,0.00078318,0.001,0.43442662,9887.211007,1.63E-05,4.92E-06,3.0088,0.001971422,2.31E-05,7.67E-06,0.388968983,65.302213,,0.001971422,1.63E-05
0.61,1502.998822,0.000727671,0.001,0.42755933,9887.211007,1.68E-05,4.27E-06,3.0087,0.001940259,2.38E-05,7.90E-06,0.407059895,71.2511052,,0.001940259,1.68E-05
0.6,1502.998878,0.000801024,0.001,0.42052843,9887.211007,1.70E-05,4.37E-06,3.0088,0.001908352,2.40E-05,7.98E-06,0.418279912,77.2576793,,0.001908352,1.70E-05
0.59,1502.998812,0.000702034,0.001,0.41347044,9887.211007,1.62E-05,4.74E-06,3.0088,0.001876323,2.29E-05,7.62E-06,0.405924335,83.1752549,,0.001876323,1.62E-05
0.58,1502.998649,0.00068242,0.001,0.40641686,9887.211007,1.59E-05,4.75E-06,3.0088,0.001844314,2.25E-05,7.46E-06,0.404622575,89.0916885,,0.001844314,1.59E-05
0.57,1502.998956,0.00069769,0.001,0.39943238,9887.211007,1.54E-05,4.74E-06,3.0087,0.001812619,2.18E-05,7.23E-06,0.399074841,95.21909,,0.001812619,1.54E-05
0.56,1502.998853,0.000886861,0.001,0.39241177,9887.211007,1.57E-05,4.85E-06,3.0088,0.001780759,2.22E-05,7.38E-06,0.414452169,101.1714199,,0.001780759,1.57E-05
0.55,1502.998829,0.000703204,0.001,0.38537226,9887.211007,1.57E-05,4.21E-06,3.0088,0.001748814,2.22E-05,7.37E-06,0.421265007,107.2987066,,0.001748814,1.57E-05
0.54,1502.998908,0.000802143,0.001,0.37837476,9887.211007,1.49E-05,4.58E-06,3.0088,0.00171706,2.11E-05,7.00E-06,0.40753825,113.2515803,,0.00171706,1.49E-05
0.53,1502.998823,0.000792794,0.001,0.37136612,9887.211007,1.50E-05,5.20E-06,3.0087,0.001685255,2.12E-05,7.06E-06,0.418939194,119.378067,,0.001685255,1.50E-05
0.52,1502.998902,0.000740682,0.001,0.36437114,9887.211007,1.58E-05,4.12E-06,3.0088,0.001653511,2.23E-05,7.41E-06,0.448226554,125.5039,,0.001653511,1.58E-05
0.51,1502.998869,0.000698228,0.001,0.35736586,9887.211007,1.45E-05,5.49E-06,3.0087,0.001621722,2.06E-05,6.84E-06,0.421593418,131.4551065,,0.001621722,1.45E-05
0.5,1502.998847,0.000825977,0.001,0.35052441,9887.211007,1.38E-05,4.85E-06,3.0087,0.001590675,1.96E-05,6.50E-06,0.408660577,137.4414445,,0.001590675,1.38E-05
0.49,1502.998882,0.000893336,0.001,0.34355988,9887.211007,1.47E-05,4.58E-06,3.0087,0.00155907,2.07E-05,6.89E-06,0.441942964,143.5348442,,0.00155907,1.47E-05
0.48,1502.998828,0.000741982,0.001,0.33657624,9887.211007,1.47E-05,4.92E-06,3.0088,0.001527379,2.07E-05,6.89E-06,0.451224964,149.4873965,,0.001527379,1.47E-05
0.47,1502.998835,0.000719038,0.001,0.32958272,9887.211007,1.44E-05,4.50E-06,3.0087,0.001495642,2.04E-05,6.78E-06,0.453253093,155.6145612,,0.001495642,1.44E-05
0.46,1502.998804,0.000738333,0.001,0.32256338,9887.211007,1.21E-05,4.60E-06,3.0088,0.001463788,1.71E-05,5.70E-06,0.389194667,161.6047879,,0.001463788,1.21E-05
0.45,1502.998811,0.000852055,0.001,0.31553689,9887.211007,1.31E-05,4.80E-06,3.0087,0.001431902,1.86E-05,6.18E-06,0.431434346,167.6956481,,0.001431902,1.31E-05
0.44,1502.99894,0.000885965,0.001,0.30851292,9887.211007,1.38E-05,4.33E-06,3.0088,0.001400028,1.95E-05,6.49E-06,0.463671406,173.6938131,,0.001400028,1.38E-05
0.43,1502.99889,0.00078433,0.001,0.30147383,9887.211007,1.29E-05,4.19E-06,3.0088,0.001368084,1.83E-05,6.09E-06,0.444845339,179.772841,,0.001368084,1.29E-05
0.42,1502.998814,0.000763564,0.001,0.29442655,9887.211007,1.30E-05,3.78E-06,3.0088,0.001336104,1.85E-05,6.13E-06,0.459052477,185.8992288,,0.001336104,1.30E-05
0.41,1502.99893,0.000787932,0.001,0.2873799,9887.211007,1.26E-05,4.31E-06,3.0088,0.001304126,1.79E-05,5.94E-06,0.455748019,191.8795514,,0.001304126,1.26E-05
0.4,1502.998894,0.000791176,0.001,0.28035026,9887.211007,1.18E-05,4.76E-06,3.0088,0.001272226,1.66E-05,5.53E-06,0.434464477,197.9788197,,0.001272226,1.18E-05
0.39,1502.998823,0.000869758,0.001,0.27344979,9887.211007,1.13E-05,4.83E-06,3.0088,0.001240912,1.60E-05,5.32E-06,0.428546727,203.9664657,,0.001240912,1.13E-05
0.38,1502.998767,0.000672053,0.001,0.26643191,9887.211007,1.11E-05,4.24E-06,3.0088,0.001209064,1.56E-05,5.19E-06,0.429650759,209.8976895,,0.001209064,1.11E-05
0.37,1502.998795,0.000669241,0.001,0.25943882,9887.211007,1.05E-05,3.65E-06,3.0088,0.00117733,1.49E-05,4.95E-06,0.420199393,216.0113,,0.00117733,1.05E-05
0.36,1502.998802,0.000831108,0.001,0.25246295,9887.211007,1.09E-05,3.59E-06,3.0088,0.001145674,1.54E-05,5.13E-06,0.448047665,221.9747083,,0.001145674,1.09E-05
0.35,1502.998853,0.00070659,0.001,0.24549275,9887.211007,1.12E-05,4.85E-06,3.0088,0.001114043,1.58E-05,5.24E-06,0.470800953,228.0882794,,0.001114043,1.12E-05
0.34,1502.998806,0.00082431,0.001,0.23850196,9887.211007,1.08E-05,4.09E-06,3.0088,0.001082319,1.52E-05,5.06E-06,0.467583754,234.0541546,,0.001082319,1.08E-05
0.33,1502.998817,0.000655483,0.001,0.2314969,9887.211007,1.03E-05,4.63E-06,3.0088,0.00105053,1.46E-05,4.86E-06,0.462739957,240.0329701,,0.00105053,1.03E-05
0.32,1502.998741,0.048577652,0.001,0.2244744,9887.211007,9.77E-06,3.89E-06,3.0088,0.001018662,1.38E-05,4.59E-06,0.450975361,245.6078584,,0.001018662,9.77E-06
0.31,1502.998918,0.000841988,0.001,0.21669286,9887.211007,9.78E-06,4.17E-06,3.0088,0.000983349,1.38E-05,4.60E-06,0.467406068,251.722123,,0.000983349,9.78E-06
0.3,1502.998851,0.000899825,0.001,0.20975941,9887.211007,9.80E-06,3.91E-06,3.0088,0.000951885,1.39E-05,4.61E-06,0.483848779,257.6737137,,0.000951885,9.80E-06
0.29,1502.998656,0.000775202,0.001,0.20276821,9887.211007,1.02E-05,4.28E-06,3.0087,0.000920159,1.44E-05,4.80E-06,0.521612563,263.7992365,,0.000920159,1.02E-05
0.28,1502.998815,0.000708672,0.001,0.19575643,9887.211007,8.90E-06,4.15E-06,3.0087,0.00088834,1.26E-05,4.18E-06,0.47095901,269.7531281,,0.00088834,8.90E-06
0.27,1502.998782,0.000768272,0.001,0.18875871,9887.211007,9.46E-06,3.84E-06,3.0086,0.000856585,1.34E-05,4.45E-06,0.519397624,275.8812441,,0.000856585,9.46E-06
0.26,1502.998827,0.000774259,0.001,0.18176415,9887.211007,8.71E-06,3.75E-06,3.0087,0.000824843,1.23E-05,4.09E-06,0.496412756,281.8447425,,0.000824843,8.71E-06
0.25,1502.998858,0.000819903,0.001,0.17483826,9887.211007,7.33E-06,3.48E-06,3.0086,0.000793414,1.04E-05,3.45E-06,0.434423923,287.958419,,0.000793414,7.33E-06
0.24,1502.998867,0.000742233,0.001,0.1678689,9887.211007,8.49E-06,3.96E-06,3.0086,0.000761787,1.20E-05,3.99E-06,0.523606849,293.9614074,,0.000761787,8.49E-06
0.23,1502.998761,0.000616821,0.001,0.16091193,9887.211007,8.77E-06,3.89E-06,3.0087,0.000730216,1.24E-05,4.12E-06,0.56423528,300.038026,,0.000730216,8.77E-06
0.22,1502.998713,0.00078952,0.001,0.1539892,9887.211007,8.20E-06,3.61E-06,3.0087,0.000698801,1.16E-05,3.86E-06,0.551670688,306.1643235,,0.000698801,8.20E-06
0.21,1502.998821,0.00074608,0.001,0.14706352,9887.211007,7.83E-06,3.52E-06,3.0087,0.000667372,1.11E-05,3.68E-06,0.551144298,312.1335253,,0.000667372,7.83E-06
0.2,1502.99882,0.000690754,0.001,0.14018574,9887.211007,8.20E-06,3.80E-06,3.0086,0.000636161,1.16E-05,3.86E-06,0.606154364,318.2444725,,0.000636161,8.20E-06
0.19,1502.998836,3.37E-05,0.001,0.13318718,9887.211007,7.86E-06,3.92E-06,3.0086,0.000604402,1.11E-05,3.70E-06,0.611493732,324.1985311,,0.000604402,7.86E-06
0.18,1502.998783,0.000721757,0.001,0.12619493,9887.211007,7.66E-06,3.99E-06,3.0087,0.000572671,1.08E-05,3.60E-06,0.628565331,330.3225277,,0.000572671,7.66E-06
0.17,1502.998866,0.000820709,0.001,0.11916529,9887.211007,7.86E-06,3.63E-06,3.0087,0.000540771,1.11E-05,3.70E-06,0.683293816,336.3310081,,0.000540771,7.86E-06
0.16,1502.998854,0.000704194,0.001,0.11213334,9887.211007,6.77E-06,3.73E-06,3.0087,0.00050886,9.57E-06,3.18E-06,0.625078638,342.2583429,,0.00050886,6.77E-06
0.15,1502.998839,0.000735598,0.001,0.10514466,9887.211007,6.72E-06,3.39E-06,3.0087,0.000477145,9.50E-06,3.16E-06,0.661716249,348.2348087,,0.000477145,6.72E-06
0.14,1502.998791,0.000719024,0.001,0.098140935,9887.211007,7.22E-06,3.51E-06,3.0087,0.000445362,1.02E-05,3.39E-06,0.761745199,354.3193943,,0.000445362,7.22E-06
0.13,1502.99883,0.000824212,0.001,0.091113185,9887.211007,6.79E-06,3.26E-06,3.0086,0.00041347,9.60E-06,3.19E-06,0.771768342,360.4336943,,0.00041347,6.79E-06
0.12,1502.998869,0.00075392,0.001,0.084125922,9887.211007,6.86E-06,3.17E-06,3.0086,0.000381762,9.70E-06,3.22E-06,0.844592688,366.5995956,,0.000381762,6.86E-06
0.11,1502.998883,0.000775072,0.001,0.077115115,9887.211007,7.52E-06,3.60E-06,3.0086,0.000349947,1.06E-05,3.53E-06,1.009626524,372.6959556,,0.000349947,7.52E-06
0.1,1502.998855,0.000835893,0.001,0.07013008,9887.211007,7.47E-06,3.53E-06,3.0085,0.000318249,1.06E-05,3.51E-06,1.102726227,378.814388,,0.000318249,7.47E-06
0.09,1502.998691,0.00089508,0.001,0.06310708,9887.211007,6.90E-06,3.45E-06,3.0085,0.000286379,9.75E-06,3.24E-06,1.132207319,384.9787323,,0.000286379,6.90E-06
0.08,1502.998827,0.000643933,0.001,0.056092426,9887.211007,6.99E-06,3.46E-06,3.0086,0.000254547,9.88E-06,3.28E-06,1.290472241,391.0673078,,0.000254547,6.99E-06
0.07,1502.998782,0.000772481,0.001,0.04910592,9887.211007,6.50E-06,2.75E-06,3.0086,0.000222842,9.19E-06,3.06E-06,1.371362889,397.3694777,,0.000222842,6.50E-06
0.06,1502.998727,0.000863122,0.001,0.042119287,9887.211007,6.48E-06,3.15E-06,3.0086,0.000191137,9.16E-06,3.05E-06,1.593723248,403.4966682,,0.000191137,6.48E-06
